[2025 05 14 14:05:47] INFO 	src/logger.cpp:22 	Initialized logger successfully!
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 73/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 74/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 75/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 76/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 77/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 78/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 79/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 80/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 81/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 82/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 83/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 84/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 85/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 86/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 87/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 88/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 89/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 90/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 91/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 92/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 93/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 94/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 95/395
